Gene	HT_Pvalue	MS_Pvalue	Known_MS_gene	known_HT_gene
GLCE	0.459	0.361		
HTN3	0.459	0.376		
C14orf43	0.459	0.391		
SCLY	0.459	0.441		
NBPF7	0.459	0.477		
LOC196415	0.459	0.574		
ZNF772	0.459	0.718		
CCL1	0.459	0.822		
SGK269	0.46	0.02057		
NPBWR1	0.46	0.02544		
C19orf20	0.46	0.176		
FNBP4	0.46	0.192		
RASSF6	0.46	0.195		
PRKD1	0.46	0.199		
RNPS1	0.46	0.205		
POU2F3	0.46	0.276		
TMEM16D	0.46	0.287		
LOC550631	0.46	0.307		
OR2AK2	0.46	0.326		
BDH1	0.348	0.209	YES	
SPATA16	0.46	0.615		
FANCE	0.46	0.687		
PRLHR	0.46	0.797		
ITPR2	0.46	0.808		
SLC13A3	0.461	0.09614		
BTN2A1	0.461	0.186		
NUDCD2	0.461	0.284		
OR10AG1	0.461	0.363		
CMTM5	0.461	0.43		
CAMK4	0.461	0.634		
RPS15A	0.461	0.865		
SLC6A20	0.462	0.02133		
EPB49	0.462	0.10401		
OR51A4	0.462	0.156		
PGM2	0.462	0.219		
PTGIS	0.462	0.245		
C14orf49	0.462	0.255		
PRR5	0.462	0.28		
DCP1A	0.462	0.285		
LGALS14	0.462	0.388		
LGR6	0.462	0.445		
MYH6	0.462	0.564		
GH1	0.462	0.728		
GPR137B	0.462	0.767		
ZNF573	0.462	0.836		
PLEKHA2	0.462	0.848		
FRRS1	0.916	0.209	YES	
DKFZP564O0523	0.463	0.194		
FRMD3	0.463	0.209		
ALPK3	0.463	0.266		
NPR1	0.463	0.342		
MAFF	0.463	0.342		
ABCA8	0.463	0.451		
SPATA22	0.463	0.562		
SFXN2	0.463	0.918		
FOXE1	0.464	0.00883		
ZP4	0.464	0.163		YES
TRAF3IP1	0.413	0.216	YES	
PTPN14	0.464	0.313		
ZNF311	0.464	0.363		
ADCY9	0.464	0.37		
ESPNL	0.464	0.38		
NLE1	0.464	0.411		
RPS28	0.464	0.549		
DEFB1	0.464	0.586		
PIK3CA	0.464	0.588		
GCNT4	0.464	0.68		
LGMN	0.464	0.712		
ANKK1	0.464	0.716		
CSHL1	0.464	0.718		
KRTAP13-2	0.464	0.722		
OR6Y1	0.464	0.803		
PEX1	0.465	0.212		
GPATCH2	0.465	0.271		
AP1B1	0.465	0.274		
C9orf116	0.465	0.37		
KLK3	0.465	0.383		
IL10RB	0.95	0.216	YES	
OR8U8	0.465	0.547		
SORT1	0.465	0.566		
PSMA5	0.465	0.633		
FAM175B	0.465	0.768		
MAP1B	0.466	0.08275		
LGALS3BP	0.466	0.481		
MOBKL3	0.466	0.599		
ZNF704	0.466	0.641		
COL4A3BP	0.466	0.648		
SKP1	0.467	0.00004		
KIAA0232	0.467	0.00453		
NPAL3	0.467	0.161		
IL1RL1	0.467	0.256		
FNDC8	0.467	0.393		
COIL	0.467	0.578		
WDR19	0.467	0.72		
RBBP8	0.467	0.785		
CBX5	0.467	0.9		
C1RL	0.467	0.927		
TRIM40	0.468	0.0000001		
BATF3	0.269	0.217	YES	
PLXNA4	0.468	0.174		
SPATA17	0.468	0.176		
SLC24A1	0.468	0.185		
CDKL2	0.468	0.233		
OR11H6	0.468	0.261		
MYLK	0.844	0.217	YES	
CANT1	0.468	0.691		
XPO7	0.468	0.692		
TFCP2	0.468	0.788		
SOS1	0.468	0.943		
NFE2	0.468	0.957		
BLOC1S3	0.469	0.05113		
CPT2	0.469	0.287		
C1orf96	0.469	0.333		
GLB1L	0.469	0.462		
ZNF474	0.469	0.497		
CDKN1B	0.469	0.517		
STK16	0.469	0.534		
C6orf151	0.469	0.556		
COQ2	0.4	0.223	YES	
CSH1	0.469	0.706		
CENPK	0.469	0.898		
SCN9A	0.469	0.903		
TINAG	0.47	0.03502		
MX2	0.47	0.187		
PTGFRN	0.47	0.366		
STRA8	0.47	0.443		
LRRC69	0.47	0.492		
MDN1	0.47	0.552		
PNPLA3	0.47	0.555		
C6orf114	0.47	0.707		
HEBP1	0.47	0.788		
ABCD3	0.47	0.887		
CHST11	0.47	0.924		
GMCL1	0.471	0.09588		
QRICH2	0.471	0.10026		
E2F3	0.471	0.244		
RPS29	0.471	0.292		
SELL	0.471	0.299		
CCDC15	0.471	0.406		
MTNR1B	0.471	0.414		
DNAJB2	0.471	0.429		
HSPBAP1	0.471	0.503		
GSTT1	0.471	0.547		
CRYBB3	0.471	0.562		
ACOT8	0.471	0.571		
FGF10	0.471	0.589		
RIOK3	0.471	0.693		
CASR	0.109	0.224	YES	
SGSM3	0.472	0.0461		
LDHAL6B	0.472	0.08438		
PROK1	0.472	0.196		
LOC100134860	0.472	0.239		
LCN1	0.472	0.24		
CCNG1	0.472	0.448		
PTPRN	0.472	0.5		
HIVEP1	0.472	0.587		
SMARCD2	0.472	0.701		
THADA	0.697	0.224	YES	
DNER	0.472	0.985		
C3orf52	0.473	0.276		
TSPAN16	0.473	0.312		
SOX5	0.473	0.391		
LDLRAD2	0.473	0.471		
FABP6	0.473	0.534		
AGBL2	0.748	0.227	YES	
PDE10A	0.473	0.61		
C1orf61	0.473	0.623		
UGCGL1	0.473	0.704		
OR10T2	0.473	0.774		
DDX1	0.474	0.331		
C4orf45	0.591	0.23	YES	
SMG7	0.474	0.493		
HIVEP2	0.474	0.651		
MYH7	0.474	0.789		
SCFD2	0.474	0.806		
FAM151A	0.474	0.809		
RNF125	0.474	0.83		
TCEA1	0.474	0.92		
WNT1	0.475	0.265		
HSD3B1	0.475	0.375		
KIAA1644	0.475	0.523		
NLRP2	0.475	0.651		
TMEM71	0.475	0.869		
TYR	0.476	0.06056		
PROC	0.476	0.07089		
ACSL6	0.476	0.07532		
GPR111	0.476	0.08304		
GRHL2	0.476	0.09945		
SPO11	0.476	0.183		
HIATL1	0.476	0.209		
ARHGEF10L	0.476	0.234		
ACTN1	0.476	0.323		
LOC201175	0.476	0.878		
OR51I1	0.476	0.921		
C16orf75	0.477	0.000015		
NUDT18	0.477	0.00636		
CST7	0.477	0.04945		
SLC5A12	0.477	0.06047		
ZSCAN22	0.477	0.112		
MAP3K7IP2	0.477	0.169		
USF1	0.477	0.262		
LOC442726	0.477	0.344		
STAC	0.684	0.23	YES	
PDE8A	0.477	0.353		
TAS2R60	0.477	0.395		
OR5W2	0.477	0.424		
SNRPC	0.477	0.463		
GRK7	0.477	0.753		
ZNF416	0.477	0.782		
SLC40A1	0.478	0.03834		
CAP1	0.478	0.08577		
ARL4A	0.478	0.08596		
MAFB	0.478	0.152		
GABRB2	0.478	0.427		
SLU7	0.478	0.464		
KDELC1	0.478	0.504		
TUBA4A	0.478	0.505		
ARFGEF2	0.478	0.514		
ZAK	0.478	0.635		
DNTTIP1	0.478	0.773		
TRIM8	0.478	0.801		
ZNF385A	0.478	0.823		
LRIT2	0.478	0.941		
HP1BP3	0.479	0.04011		
CSTA	0.479	0.06974		
OR5AC2	0.479	0.103		
NR2C2	0.479	0.211		
FAM14B	0.479	0.462		
UQCRC2	0.479	0.477		
C1orf130	0.479	0.485		
TRIM67	0.479	0.667		
PHF5A	0.48	0.04097		
NANOS1	0.48	0.09022		
NUAK1	0.48	0.159		
CHMP4B	0.48	0.226		
DFFB	0.48	0.357		
HEATR6	0.48	0.379		
PRC1	0.48	0.412		
C6orf1	0.48	0.48		
SLC39A9	0.48	0.485		
DIRC2	0.48	0.538		
SPATA19	0.48	0.641		
SLC6A12	0.48	0.682		
MRC1L1-2	0.48	0.713		
CCL5	0.48	0.826		
ARHGAP27	0.48	0.829		
PACSIN1	0.48	0.866		
RGS20	0.48	0.932		
KLK15	0.481	0.271		
CPA6	0.481	0.273		
C21orf66	0.481	0.357		
HMGA1	0.481	0.462		
COQ10B	0.481	0.524		
OR3A3	0.481	0.547		
SEPHS1	0.481	0.552		
TLE4	0.481	0.644		
HACE1	0.481	0.691		
PADI4	0.481	0.885		
KRTAP5-5	0.482	0.03094		
INSL3	0.482	0.205		
CRLS1	0.482	0.242		
DCUN1D4	0.08081	0.236	YES	
AGBL1	0.482	0.255		
LOC390110	0.482	0.285		
BNC1	0.482	0.316		
PTPDC1	0.482	0.371		
MAGOHB	0.482	0.389		
FKBP11	0.482	0.438		
EXOC6	0.482	0.454		
OR1E2	0.482	0.51		
PRPF38A	0.482	0.541		
FOXD2	0.482	0.708		
TRIP12	0.482	0.835		
KRT80	0.482	0.904		
C9orf80	0.483	0.134		
ABHD10	0.483	0.253		
BAMBI	0.483	0.271		
LY6H	0.483	0.373		
SRP14	0.483	0.418		
BCAT1	0.483	0.572		
HAL	0.483	0.985		
PSMB8	0.484	0.0000001		
FAM160B2	0.484	0.01194		
RLBP1L2	0.484	0.06158		
AFMID	0.484	0.09691		
SPOCK1	0.838	0.236	YES	
BCL2L1	0.484	0.121		
ALDH3A2	0.484	0.122		
ADCY5	0.497	0.237	YES	
SHROOM3	0.484	0.389		
ARMC2	0.484	0.466		
IL28RA	0.484	0.483		
HTR4	0.484	0.577		
ERH	0.484	0.653		
QRICH1	0.484	0.744		
MLZE	0.484	0.984		
KRTAP5-4	0.485	0.04625		
UTP15	0.485	0.188		
ATP6V1G3	0.485	0.336		
LIN28B	0.485	0.42		
EBPL	0.485	0.553		
MAX	0.485	0.583		
ZSCAN10	0.485	0.684		
HNRNPA1	0.485	0.943		
HNF1A	0.485	0.96		
C6	0.485	0.995		
ARHGAP28	0.486	0.02016		
ZNF608	0.862	0.239	YES	
TRIM29	0.486	0.246		
KIAA1012	0.486	0.266		
C15orf44	0.486	0.44		
C15orf29	0.486	0.484		
TLE6	0.486	0.507		
SLC26A8	0.486	0.509		
ILK	0.486	0.521		
RPS6KA1	0.07682	0.24	YES	
DUXA	0.486	0.645		
BMP4	0.486	0.721		
WDR6	0.486	0.906		
GATA6	0.486	0.976		
C20orf74	0.486	0.983		
PVALB	0.487	0.00525		
HNF4A	0.487	0.127		
BAIAP2L2	0.487	0.144		
RYK	0.487	0.405		
KRT6B	0.487	0.445		
LRRTM2	0.992	0.242	YES	
MR1	0.487	0.625		
NLRP8	0.487	0.679		
UBE2C	0.487	0.746		
IGSF2	0.487	0.816		
COL8A2	0.487	0.818		
C3orf60	0.487	0.847		
PPP1R3C	0.487	0.848		
PPWD1	0.487	0.96		
HSPA6	0.488	0.05361		
DAOA	0.488	0.0702		
TTF2	0.488	0.101		
MEX3C	0.488	0.124		
TAF5	0.488	0.241		
CALHM1	0.488	0.261		
TESK1	0.488	0.287		
IGF1R	0.488	0.341		
CCDC33	0.488	0.345		
KCTD12	0.488	0.348		
HNRPLL	0.488	0.425		
SCG5	0.488	0.543		
TMEM16A	0.488	0.56		
IMPDH2	0.488	0.835		
SPRED3	0.488	0.889		
LTA4H	0.488	0.918		
UBAC2	0.489	0.00158		
AHSA2	0.489	0.03629		
P2RX5	0.489	0.06984		
KATNAL1	0.489	0.0801		
PENK	0.489	0.252		
TMEM40	0.489	0.255		
ARHGAP10	0.543	0.243	YES	
GPX3	0.489	0.444		
RNF13	0.489	0.486		
ORC1L	0.489	0.551		
ITGA5	0.489	0.682		
PCDH12	0.489	0.72		
PCDH10	0.489	0.765		
PDS5A	0.489	0.799		
ZYX	0.489	0.88		
KIF15	0.489	0.887		
PH-4	0.489	0.888		
C5orf48	0.489	0.935		
LHX4	0.22	0.246	YES	
DEFB115	0.49	0.01121		
ZNF341	0.49	0.07844		
RAPSN	0.49	0.0832		
CCDC70	0.49	0.119		
RPP40	0.49	0.129		
LZTS2	0.49	0.161		
EFCAB3	0.49	0.379		
LOC130576	0.49	0.478		
CDA	0.49	0.595		
TINAGL1	0.49	0.617		
GRAP	0.49	0.723		
NTSR1	0.49	0.741		
SPDEF	0.49	0.914		
IRX2	0.49	0.921		
SH3RF2	0.49	0.923		
KIAA0564	0.491	0.01421		
SLC24A3	0.491	0.146		
GCM1	0.491	0.155		
ELF3	0.491	0.476		
JARID1B	0.491	0.568		
THBS1	0.491	0.7		
PLA2G2D	0.491	0.789		
SLC25A37	0.491	0.822		
ALS2CR8	0.492	0.00036		
C1orf74	0.492	0.03638		
SCAP	0.492	0.0492		
ID1	0.492	0.09273		
JAM2	0.492	0.105		
STK35	0.492	0.111		
XKR6	0.492	0.193		
DISC1	0.492	0.455		
COL2A1	0.492	0.459		
KIAA0409	0.492	0.555		
GRAMD1A	0.492	0.625		
ARHGAP29	0.492	0.657		
JARID1A	0.492	0.658		
C14orf152	0.492	0.75		
CALML5	0.492	0.77		
GBP6	0.492	0.802		
FAM98C	0.492	0.836		
PPT1	0.493	0.06243		
LOC402117	0.493	0.08657		
RIMS3	0.493	0.10495		
OR13C3	0.493	0.252		
FLJ45139	0.493	0.307		
PSMA4	0.493	0.454		
PSMC5	0.493	0.664		
SSTR4	0.493	0.797		
ADHFE1	0.493	0.8		
ZNF667	0.493	0.946		
NPC1	0.493	0.987		
C13orf15	0.494	0.000857		
PRSSL1	0.494	0.0708		
FLJ46481	0.494	0.07588		
FCGR3A	0.494	0.08475		
ABHD9	0.494	0.135		
PAP2D	0.494	0.147		
ZSWIM3	0.494	0.316		
C16orf65	0.494	0.431		
BTN2A3	0.494	0.488		
BACH1	0.494	0.671		
TNNC2	0.494	0.778		
VN1R1	0.494	0.816		
RASGRP3	0.464	0.247	YES	
TK1	0.495	0.32		
ZNF213	0.495	0.458		
NCF2	0.495	0.492		
PLXNA2	0.495	0.743		
ARL6IP1	0.495	0.758		
TFF3	0.496	0.312		
CENPQ	0.496	0.378		
STX6	0.496	0.496		
F2RL2	0.496	0.523		
PARP8	0.496	0.622		
GTF2H1	0.496	0.701		
CACNA2D3	0.284	0.248	YES	
RPS6KA5	0.497	0.164		
C1GALT1	0.497	0.197		
CAND2	0.482	0.251	YES	
C15orf53	0.497	0.365		
OR1E1	0.497	0.565		
ATF2	0.497	0.572		
GGN	0.497	0.881		
STAP2	0.498	0.156		
SGSH	0.498	0.164		
TMPRSS3	0.498	0.187		
FERMT1	0.498	0.188		
TXNDC11	0.498	0.358		
METTL2A	0.498	0.363		
ARG2	0.498	0.422		
NTRK3	0.498	0.6		
VPS33B	0.498	0.604		
CD276	0.498	0.633		
PTDSS1	0.498	0.697		
PLA2G5	0.498	0.768		
WASF1	0.498	0.823		
RASGRP4	0.498	0.839		
SNPH	0.498	0.958		
HES6	0.498	0.994		
D4S234E	0.499	0.173		
C1orf111	0.499	0.208		
2-Sep	0.499	0.215		
EIF4EBP2	0.499	0.249		
MED7	0.499	0.269		
UBIAD1	0.499	0.518		
BMF	0.499	0.551		
NUDT9	0.499	0.565		
NSUN7	0.499	0.58		
GLT6D1	0.499	0.745		
POLR1E	0.499	0.8		
DALRD3	0.499	0.827		
ZNF610	0.499	0.885		
MYOZ2	0.5	0.11		
GGA1	0.5	0.137		
PALM	0.5	0.232		
COMMD2	0.5	0.27		
RARRES1	0.5	0.353		
SNN	0.5	0.424		
OR5I1	0.5	0.443		
CD1B	0.5	0.798		
SLC6A13	0.5	0.817		
MAP2K5	0.5	0.893		
HMGN3	0.501	0.177		
ZCCHC4	0.852	0.254	YES	
PPARGC1B	0.501	0.319		
RAB38	0.501	0.356		
C15orf59	0.501	0.359		
SLC44A1	0.501	0.489		
TMEM9B	0.501	0.513		
MRC1-2	0.501	0.664		
TTC1	0.501	0.747		
TAF11	0.501	0.748		
PSCA	0.501	0.855		
FLJ12993	0.501	0.926		
BRAF	0.501	0.964		
PADI3	0.502	0.184		
TAGLN3	0.502	0.205		
PRR4	0.502	0.234		
TMOD2	0.502	0.277		
TPP1	0.502	0.437		
IQCF2	0.502	0.476		
FOXE3	0.502	0.652		
MFSD8	0.714	0.255	YES	
IGSF10	0.00865	0.256	YES	
GABRP	0.502	0.973		
ZNF652	0.503	0.02459		
BTN1A1	0.503	0.07301		
MATN4	0.503	0.157		
ALG10B	0.503	0.178		
DIAPH3	0.503	0.235		
FNTB	0.503	0.481		
MLC1	0.503	0.501		
NKTR	0.503	0.797		
ATF7IP	0.503	0.815		
MMAB	0.503	0.907		
DPPA3	0.503	0.922		
MMP15	0.503	0.954		
WDR12	0.504	0.000179		
SLC46A2	0.504	0.194		
WNT10B	0.504	0.358		
INTS9	0.504	0.412		
FZD6	0.504	0.462		
HPSE2	0.504	0.627		
GPR84	0.504	0.788		
C5orf38	0.504	0.91		
KIF17	0.875	0.257	YES	
IL31	0.505	0.00239		
LRRC8B	0.829	0.258	YES	
HK1	0.505	0.22		
B3GNT3	0.505	0.221		
OSBPL8	0.505	0.222		
FIBIN	0.505	0.232		
PDCD11	0.505	0.275		
ATP5G3	0.505	0.316		
SCN11A	0.505	0.35		
TCF21	0.505	0.409		
CETN1	0.505	0.563		
FUT10	0.505	0.622		
KRTAP8-1	0.505	0.79		
HSD17B11	0.505	0.835		
CCDC4	0.505	0.884		
WWOX	0.501	0.271	YES	
TRIM27	0.506	0.03914		
FNIP2	0.506	0.04598		
IRF6	0.506	0.04852		
CABP1	0.506	0.10909		
FCHO1	0.506	0.259		
CALHM2	0.506	0.264		
ZNF431	0.506	0.589		
ABLIM1	0.506	0.603		
ZNF550	0.506	0.616		
CRYBB2	0.506	0.828		
LYPD2	0.506	0.973		
MLXIP	0.507	0.00355		
CUGBP1	0.507	0.05092		
CD274	0.507	0.09544		
PEMT	0.507	0.133		
MC3R	0.507	0.203		
FLJ46266	0.507	0.206		
TMEM85	0.507	0.277		
RAB8A	0.507	0.312		
TTC21A	0.568	0.271	YES	
TBL1XR1	0.507	0.541		
SKAP2	0.07887	0.272	YES	
ATP5J	0.508	0.08317		
FBXO31	0.508	0.116		
ENTPD6	0.508	0.143		
SH3BP2	0.508	0.212		
ATRNL1	0.508	0.386		
RNF7	0.508	0.518		
LINS1	0.508	0.651		
ZIM3	0.508	0.682		
DCC	0.508	0.723		
ABLIM2	0.508	0.856		
ARIH2	0.508	0.875		
C10orf4	0.508	0.917		
CARD14	0.509	0.15		
TIMP3	0.509	0.163		
A2BP1	0.509	0.353		
CHD1L	0.509	0.582		
CD79A	0.509	0.601		
USP29	0.509	0.65		
ACTR2	0.509	0.78		
ARVCF	0.509	0.88		
ING2	0.509	0.958		
KRTAP5-3	0.51	0.06008		
PSMC3	0.51	0.09678		
GPR15	0.51	0.157		
COL23A1	0.51	0.163		
RPAP3	0.51	0.189		
ARHGAP30	0.51	0.251		
CALHM3	0.51	0.264		
TRIP6	0.51	0.638		
TTC29	0.51	0.723		
RND3	0.576	0.272	YES	
ROD1	0.511	0.05769		
TBC1D10A	0.511	0.07682		
LPCAT2	0.511	0.08424		
RHOQ	0.511	0.107		
CPE	0.511	0.167		
OR2AT4	0.511	0.347		
PHOX2B	0.511	0.501		
CALML3	0.511	0.591		
GATA2	0.511	0.694		
PPA1	0.511	0.698		
MBL2	0.511	0.772		
ZNF30	0.511	0.881		
ANKRD29	0.511	0.975		
OBFC1	0.512	0.07157		
SLC7A2	0.512	0.111		
CRYBA4	0.512	0.115		
ZNF219	0.512	0.159		
OR10J1	0.512	0.184		
KIAA0133	0.512	0.217		
KIAA1467	0.512	0.246		
PYGB	0.512	0.276		
GALNT11	0.512	0.432		
TAF5L	0.512	0.469		
ARS2	0.512	0.656		
MYH7B	0.512	0.668		
LDHA	0.512	0.79		
CLEC12B	0.513	0.07891		
LINGO4	0.513	0.322		
LRRC4C	0.513	0.436		
GPR156	0.513	0.457		
TRIM9	0.513	0.698		
KCNIP4	0.847	0.275	YES	
WNK4	0.513	0.922		
PCOTH	0.513	0.959		
LY6K	0.513	0.976		
LAMP1	0.514	0.000264		
DPY19L3	0.514	0.02592		
FCGR2A	0.514	0.05268		
TATDN2	0.514	0.105		
C1orf101	0.514	0.117		
MTFMT	0.514	0.174		
TGDS	0.514	0.217		
PER2	0.514	0.777		
C7orf41	0.514	0.909		
ENTPD4	0.514	0.965		
POLRMT	0.515	0.00896		
FSTL3	0.515	0.07068		
KIAA0152	0.515	0.131		
TOP2A	0.515	0.179		
ZZZ3	0.515	0.336		
RIPK4	0.515	0.358		
CCDC102A	0.515	0.372		
LRRIQ3	0.515	0.499		
MGC42105	0.515	0.502		
LAPTM4B	0.515	0.571		
PHYH	0.515	0.692		
MRGPRX2	0.515	0.96		
NDST2	0.516	0.00683		
PLEK2	0.516	0.319		
ECHDC2	0.516	0.413		
PHF21B	0.516	0.418		
TAF10	0.516	0.47		
FAM161A	0.516	0.513		
KIAA0495	0.516	0.603		
ZNF205	0.516	0.687		
SAMD12	0.516	0.794		
GDF3	0.516	0.937		
RP11-45B20.2	0.516	0.942		
C7orf26	0.516	0.96		
JAK3	0.517	0.107		
SLC26A4	0.517	0.138		
SMAD6	0.517	0.204		
KRT84	0.517	0.426		
LOC340204	0.517	0.429		
GPR114	0.517	0.451		
SLC12A9	0.517	0.633		
SIVA1	0.517	0.685		
TMEM42	0.517	0.698		
TTLL2	0.517	0.91		
KIF5A	0.518	0.000154		
SEC24C	0.518	0.00587		
KLHDC5	0.518	0.108		
CABYR	0.518	0.14		
TTLL5	0.518	0.144		
PLCG2	0.518	0.21		
KIDINS220	0.518	0.292		
TMEM66	0.518	0.378		
DGKG	0.518	0.4		
ADRA1B	0.518	0.594		
SPATS1	0.518	0.671		
DNAJB8	0.518	0.744		
EYA3	0.518	0.745		
C13orf3	0.518	0.764		
C16orf80	0.518	0.791		
PPP1R8	0.29	0.277	YES	
SP100	0.519	0.0629		
FAM62C	0.519	0.115		
SEC13	0.519	0.127		
DNAJB12	0.519	0.195		
IER5	0.519	0.208		
SLC29A2	0.519	0.343		
DCHS1	0.519	0.451		
TSPAN15	0.519	0.538		
TEKT5	0.519	0.66		
KRT79	0.519	0.761		
SCARB2	0.519	0.772		
OR9A4	0.519	0.805		
MTSS1	0.519	0.988		
CYB5B	0.52	0.01379		
C1orf172	0.52	0.02341		
PCGF6	0.52	0.395		
ID4	0.52	0.413		
PLA2G2C	0.52	0.465		
LOC123688	0.52	0.509		
CLDN10	0.52	0.603		
CEBPE	0.52	0.788		
TMCO2	0.52	0.861		
C4orf22	0.52	0.862		
KRT73	0.52	0.907		
ZBTB47	0.52	0.973		
PPP3CA	0.06281	0.278	YES	
LDHC	0.521	0.05942		
LOC81691	0.521	0.308		
FER1L6	0.521	0.365		
ARF3	0.521	0.647		
TTC39B	0.521	0.703		
DDX54	0.521	0.733		
NAGK	0.521	0.809		
SLC25A16	0.521	0.844		
IGLL1	0.521	0.845		
EFCAB6	0.521	0.855		
PADI1	0.522	0.05235		
UNC119B	0.522	0.156		
PPM1K	0.398	0.279	YES	
FECH	0.522	0.527		
INA	0.522	0.553		
TOMM40L	0.522	0.92		
RYR1	0.522	0.94		
CDKN2AIP	0.523	0.07993		
SGEF	0.523	0.148		
FLJ13137	0.523	0.204		
MTHFSD	0.523	0.345		
EIF3D	0.523	0.486		
PEBP1	0.523	0.685		
C1QTNF1	0.523	0.691		
APOBEC1	0.523	0.974		
CHCHD2	0.524	0.000194		
FGF22	0.524	0.06981		
ARL8B	0.524	0.08429		
GABPA	0.524	0.10379		
METAP2	0.524	0.314		
EFCAB1	0.524	0.472		
DDIT4	0.524	0.637		
USP35	0.524	0.814		
KCTD21	0.524	0.875		
UNC93A	0.524	0.892		
LRRC19	0.524	0.956		
OXSM	0.524	0.976		
GRTP1	0.525	0.001198		
LRRC43	0.525	0.00276		
RNF126	0.525	0.07025		
GHRL	0.525	0.10754		
FAM113B	0.525	0.241		
KLRC1	0.525	0.341		
GRIK2	0.525	0.402		
ASCL3	0.525	0.575		
PNLIPRP3	0.525	0.656		
C1D	0.525	0.736		
MRP63	0.525	0.76		
EIF2S1	0.525	0.806		
FSTL5	0.525	0.827		
C8orf55	0.525	0.996		
PAFAH1B1	0.526	0.149		
ATP5E	0.526	0.321		
HIBCH	0.526	0.447		
ASB2	0.526	0.476		
TTYH3	0.526	0.495		
FAM29A	0.526	0.57		
MANEA	0.526	0.607		
VPS45	0.526	0.698		
GPR75	0.526	0.703		
FLJ20674	0.526	0.855		
MKKS	0.526	0.868		
SLURP1	0.526	0.963		
TUBB	0.527	0.000505		
CHCHD1	0.527	0.01287		
GSDML	0.527	0.02983		
IGF2BP3	0.527	0.05797		
TCTEX1D2	0.527	0.123		
COL9A3	0.527	0.16		
RAX	0.527	0.256		
FAM129A	0.527	0.334		
ZCCHC3	0.527	0.383		
TGM4	0.527	0.466		
ZNF385B	0.296	0.281	YES	
SULF1	0.527	0.618		
PSME3	0.527	0.695		
ZDHHC4	0.527	0.955		
TRIM31	0.528	0.0000001		
ATXN7L1	0.528	0.237		
PLEKHA3	0.528	0.288		
SORCS1	0.528	0.385		
B3GNT1	0.528	0.441		
SMAP1	0.528	0.508		
ZNF425	0.528	0.597		
ZNF792	0.528	0.918		
TMPRSS13	0.529	0.04996		
NPAS4	0.529	0.15		
PKIG	0.529	0.183		
OXA1L	0.529	0.23		
SOCS5	0.529	0.244		
USMG5	0.529	0.249		
C6orf126	0.529	0.414		
EMP1	0.529	0.42		
SCGB3A2	0.529	0.46		
TNIP1	0.529	0.581		
AKT1	0.529	0.64		
KLF5	0.53	0.189		
SLC22A16	0.53	0.211		
MDS1	0.53	0.212		
CIB3	0.53	0.236		
EGR3	0.53	0.309		
RSPO2	0.53	0.446		
FAM107A	0.53	0.593		
SAMD13	0.53	0.62		
CCDC54	0.53	0.765		
IFT74	0.53	0.902		
FLJ45422	0.531	0.0000001		
PCDHGA12	0.531	0.00043		
DMXL1	0.731	0.284	YES	
CXXC5	0.531	0.01397		
FAM135B	0.531	0.03518		
LOC340286	0.531	0.13		
MRPL11	0.531	0.192		
OR8H3	0.531	0.288		
EGR1	0.531	0.425		
XKR8	0.531	0.58		
CENPC1	0.531	0.813		
WDR47	0.531	0.902		
TGFBR2	0.381	0.287	YES	
KIAA0913	0.532	0.00663		
FAM46B	0.532	0.11		
CARD8	0.532	0.111		
COMMD10	0.532	0.121		
AOC2	0.532	0.29		
MLL3	0.532	0.335		
TNFRSF10A	0.532	0.393		
LAYN	0.532	0.429		
BARD1	0.532	0.751		
GIMAP6	0.533	0.02882		
CACNG2	0.533	0.278		
ADH1B	0.533	0.335		
METAP1	0.533	0.399		
OR1A1	0.533	0.489		
SNURF	0.533	0.517		
CCT4	0.533	0.63		
THAP7	0.533	0.702		
FIBCD1	0.533	0.848		
SLC7A4	0.533	0.852		
ENC1	0.533	0.862		
EPHA1	0.533	0.912		
ZNF528	0.533	0.958		
TIMD4	0.534	0.07081		
AK2	0.534	0.123		
BTD	0.534	0.317		
BLOC1S2	0.534	0.359		
UBXD3	0.534	0.396		
CCDC65	0.534	0.447		
COMMD8	0.534	0.452		
JRK	0.534	0.465		
GALK2	0.534	0.465		
SLCO1C1	0.534	0.476		
TMEM59	0.534	0.667		
DRD2	0.534	0.711		
C22orf25	0.534	0.733		
TAF15	0.534	0.743		
ERAP1	0.534	0.794		
ZNF501	0.534	0.827		
AOX1	0.192	0.291	YES	
MACROD2	0.535	0.261		YES
ZNF296	0.535	0.389		
INTS8	0.146	0.293	YES	
GFRAL	0.535	0.475		
WBP11	0.535	0.656		
ARHGEF1	0.535	0.674		
DHCR24	0.535	0.679		
DSG4	0.535	0.756		
SS18L2	0.535	0.776		
TNN	0.535	0.974		
LNX1	0.08405	0.294	YES	
FAM167A	0.536	0.05498		
VCL	0.536	0.111		
RASGRF1	0.536	0.118		
TM4SF19	0.536	0.122		
ZNFX1	0.536	0.128		
PCYT1A	0.536	0.191		
SSH1	0.536	0.232		
RP5-1022P6.2	0.536	0.334		
ACIN1	0.536	0.412		
MOV10L1	0.536	0.535		
C11orf73	0.536	0.609		
COL19A1	0.536	0.714		
TNNI2	0.536	0.782		
ZNF280B	0.536	0.816		
FRYL	0.536	0.827		
BPGM	0.536	0.871		
LOC153328	0.536	0.956		
RORC	0.165	0.294	YES	
CCNB2	0.537	0.00847		
IPO7	0.537	0.15		
